,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff
2001-11-07,0.015979886219874118,3.400000000000625e-05,0.0052000000000003155,0.698,-0.0013862437247667003,-0.030000000000000027,-40.0
2001-11-08,-0.004926509765397213,-3.400000000000625e-05,-0.0484,0.696,-0.0013881680643450522,0.010000000000000009,-29.0
2001-11-09,0.014000624184168586,0.0,-0.022400000000000198,0.694,-0.0013900977539638149,-0.010000000000000009,0.0
2001-11-12,-0.012965633446501812,3.400000000000625e-05,0.015499999999999847,0.688,-0.004181925235904771,0.010000000000000009,20.0
2001-11-13,0.027547356977274617,0.0,-0.023199999999999665,0.6859999999999999,-0.0013978704615791315,0.010000000000000009,-64.0
2001-11-14,-0.007147326883611527,0.0,0.0028999999999999027,0.6839999999999999,-0.0013998272390445266,0.0,-22.0
2001-11-16,0.004434252082717194,0.0,0.009300000000000086,0.68,-0.0028055467775267573,0.0,-31.0
2001-11-19,0.008040244318566536,0.0,-0.023800000000000043,0.674,-0.004223133900429943,-0.010000000000000009,-38.0
2001-11-20,-0.027240708776689715,0.0,0.019600000000000062,0.672,-0.001411683922645679,0.0,6.0
2001-11-21,0.012268162676681627,0.0,0.006099999999999994,0.67,-0.0014136795917298883,0.0,-10.0
2001-11-22,0.017433517887313954,0.0,-0.0028000000000001357,0.668,-0.0014156809112737534,0.010000000000000009,8.0
2001-11-23,0.03063432080958961,0.0,-0.024900000000000144,0.666,-0.0014176879053167113,0.0,-16.0
2001-11-26,0.024721682780347365,0.0,-0.02400000000000002,0.66,-0.004265162788497534,0.0,-32.0
2001-11-27,-0.011475475853904626,0.0,-0.028999999999999915,0.658,-0.0014257731118636485,0.0,19.0
2001-11-28,-0.04388052773603235,0.0,0.0253000000000001,0.656,-0.001427808843667222,0.0,34.0
2001-11-29,-0.021977199813232318,0.0,0.021500000000000075,0.654,-0.0014298503970575638,0.0,55.0
2001-11-30,0.015272230761159022,0.0,0.021500000000000075,0.652,-0.001431897797040449,0.0,-5.0
2001-12-03,0.030762285585305804,0.0,-0.06150000000000011,0.6416129032258064,-0.0018004499364607796,-0.010000000000000009,-50.0
2001-12-04,-0.014273549734024726,0.0,-0.0383,0.6374193548387097,-0.00018329981668863127,0.0,-16.0
2001-12-05,0.01771692464615704,0.0,0.0017000000000000348,0.633225806451613,-0.00018333342167231592,0.0,-27.0
2001-12-06,0.011663889152348617,0.0,0.01289999999999969,0.6290322580645161,-0.00018336703897858797,0.010000000000000009,9.0
2001-12-07,-0.017885565081947163,0.0,-0.042999999999999705,0.6248387096774194,-0.0001834006686163292,0.0,-16.0
2001-12-10,0.01099281961581866,0.0,-0.04260000000000019,0.6122580645161291,-0.00055040390708605,0.0,-3.0
