,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff,T_choque_dolar,vix_ret_log,sp500_ret_log,petroleo_ret_log,br_selic
2001-11-07,0.0159798862198741,3.400000000000625e-05,0.0052000000000003,0.698,-0.0013862437247667,-0.03,-40.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-08,-0.0049265097653972,-3.400000000000625e-05,-0.0484,0.696,-0.001388168064345,0.01,-29.0,1,0.0,0.0,0.0,0.0
2001-11-09,0.0140006241841685,0.0,-0.0224000000000001,0.694,-0.0013900977539638,-0.01,0.0,0,0.0,0.0,0.0,0.0
2001-11-12,-0.0129656334465018,3.400000000000625e-05,0.0154999999999998,0.688,-0.0041819252359047,0.01,20.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-13,0.0275473569772746,0.0,-0.0231999999999996,0.6859999999999999,-0.0013978704615791,0.01,-64.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-11-14,-0.0071473268836115,0.0,0.0028999999999999,0.6839999999999999,-0.0013998272390445,0.0,-22.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-16,0.0044342520827171,0.0,0.0093,0.68,-0.0028055467775267,0.0,-31.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-19,0.0080402443185665,0.0,-0.0238,0.674,-0.0042231339004299,-0.01,-38.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-11-20,-0.0272407087766897,0.0,0.0196,0.672,-0.0014116839226456,0.0,6.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-21,0.0122681626766816,0.0,0.0060999999999999,0.67,-0.0014136795917298,0.0,-10.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-22,0.0174335178873139,0.0,-0.0028000000000001,0.668,-0.0014156809112737,0.01,8.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-23,0.0306343208095896,0.0,-0.0249000000000001,0.666,-0.0014176879053167,0.0,-16.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-11-26,0.0247216827803473,0.0,-0.024,0.66,-0.0042651627884975,0.0,-32.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-11-27,-0.0114754758539046,0.0,-0.0289999999999999,0.658,-0.0014257731118636,0.0,19.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-11-28,-0.0438805277360323,0.0,0.0253000000000001,0.656,-0.0014278088436672,0.0,34.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-11-29,-0.0219771998132323,0.0,0.0215,0.654,-0.0014298503970575,0.0,55.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-11-30,0.015272230761159,0.0,0.0215,0.652,-0.0014318977970404,0.0,-5.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-03,0.0307622855853058,0.0,-0.0615000000000001,0.6416129032258064,-0.0018004499364607,-0.01,-50.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-04,-0.0142735497340247,0.0,-0.0383,0.6374193548387097,-0.0001832998166886,0.0,-16.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-05,0.017716924646157,0.0,0.0017,0.633225806451613,-0.0001833334216723,0.0,-27.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-06,0.0116638891523486,0.0,0.0128999999999996,0.6290322580645161,-0.0001833670389785,0.01,9.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-07,-0.0178855650819471,0.0,-0.0429999999999997,0.6248387096774194,-0.0001834006686163,0.0,-16.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-10,0.0109928196158186,0.0,-0.0426000000000001,0.6122580645161291,-0.000550403907086,0.0,-3.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-11,-0.0073151031577172,0.0,-0.0161999999999999,0.6080645161290323,-0.0001835353106116,0.0,0.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-12,0.0159789360914501,0.0,0.0134000000000003,0.6038709677419355,-0.0001835690020062,0.0,-19.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-13,-0.0310758411786054,0.0,0.0295999999999998,0.5996774193548388,-0.0001836027057713,0.0,8.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-14,-0.0144791283486949,0.0,-0.0007000000000001,0.5954838709677419,-0.0001836364219141,-0.01,-4.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-17,-0.0036334159256838,0.0,-0.0259999999999998,0.5829032258064516,-0.0005511116864962,0.0,18.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-18,0.0368736897672548,0.0,-0.0150000000000001,0.5787096774193549,-0.0001837714104127,0.0,-4.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-19,-0.0080189285696938,0.0,-0.0499999999999998,0.5745161290322581,-0.000183805188552,0.0,13.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-20,-0.0283901851148726,0.0,0.0271999999999996,0.5703225806451613,-0.00018383897911,-0.01,17.0,1,0.0,0.0,0.0,3.400000000000625e-05
2001-12-21,0.0343169063907033,0.0,0.0109000000000003,0.5661290322580645,-0.0001838727820935,0.0,-12.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-26,-0.0008231376975409,0.0,-0.0166000000000003,0.5451612903225806,-0.0009198713906428,0.01,4.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-27,0.0293596362665748,0.0,0.0070000000000001,0.5409677419354839,-0.0001840758613393,-0.01,-12.0,0,0.0,0.0,0.0,3.400000000000625e-05
2001-12-28,-0.0130242566905636,0.0,-0.0011000000000001,0.5367741935483872,-0.0001841097515011,0.01,-25.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-02,0.0214215841587304,0.0,-0.0137999999999998,0.5148387096774194,-0.0009945031658418,0.0,-35.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-03,0.0279365646272768,0.0,-0.0133999999999998,0.5096774193548387,-0.0002577914478028,0.0,-19.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-04,0.004685814777245,0.0,0.0168999999999996,0.5045161290322581,-0.0002578579213707,0.0,1.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-07,0.0032740094028955,0.0,0.0327000000000001,0.4890322580645161,-0.0007739729485507,0.0,14.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-01-08,-0.0147829083650705,0.0,0.0026000000000001,0.4838709677419355,-0.0002581241588064,0.0,6.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-09,-0.0104296947415392,0.0,0.0339999999999998,0.4787096774193548,-0.000258190804093,0.0,15.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-01-10,-0.0326947318922155,0.0,0.0102000000000002,0.4735483870967742,-0.0002582574838001,0.0,16.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-11,0.0012519793954091,0.0,0.0271999999999996,0.4683870967741935,-0.0002583241979579,0.0,17.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-01-14,-0.0348232423195007,0.0,-0.0095999999999998,0.4529032258064516,-0.0007753732237212,0.0,-5.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-15,-0.0084950574013475,0.0,-0.0367000000000001,0.447741935483871,-0.0002585913996213,0.0,-6.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-01-16,0.0055949561547983,0.0,0.0161999999999999,0.4425806451612903,-0.0002586582864321,0.0,4.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-17,0.0191520179641209,0.0,-0.0225999999999997,0.4374193548387097,-0.0002587252078516,0.0,-14.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-18,0.0026956212504014,0.0,0.0110999999999998,0.432258064516129,-0.0002587921639065,0.01,-14.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-21,-0.0164358343984041,0.0,-0.0009999999999998,0.4167741935483871,-0.000776778574842,0.0,3.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-22,-0.0115449120505974,0.0,-0.0075000000000002,0.4116129032258064,-0.0002590603350487,0.0,-14.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-23,0.0173811358396775,0.0,0.0137,0.4064516129032258,-0.0002591274646963,0.0,-11.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-24,-0.005304248247409,0.0,0.0177,0.4012903225806452,-0.0002591946291428,0.0,10.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-28,-0.0122306982516491,0.0,0.0247000000000001,0.3806451612903225,-0.001037450857984,0.01,6.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-01-29,-0.0392945506738513,0.0,0.0005999999999999,0.3754838709677419,-0.0002595309743185,0.0099999999999999,23.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-30,0.0024767319815186,0.0,0.0150000000000001,0.3703225806451612,-0.0002595983481317,0.0,2.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-31,0.0149687980841282,0.0,-0.0201000000000002,0.3651612903225806,-0.0002596657569338,0.0,107.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-01,-0.0048857465193812,0.0,-0.0021999999999997,0.36,-0.0002597332007514,-0.0699999999999999,-84.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-04,-0.0116003207717731,0.0,0.0066999999999999,0.3857142857142857,0.0066743756045202,-0.01,9.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-05,0.018606292672171,0.0,-0.0013999999999998,0.3942857142857143,0.0022149290430615,0.0,-14.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-06,0.0002353033463151,0.0,-0.0008000000000003,0.4028571428571428,0.0022100339726307,0.0,-7.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-07,-0.0052683432253033,0.0,0.0312000000000001,0.4114285714285714,0.0022051604910533,0.0,15.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-02-08,-0.0068032854763639,0.0,0.0173,0.42,0.0022003084558157,-0.01,1.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-13,0.0284067772414999,0.0,-0.0459,0.4628571428571428,0.0109295025536066,0.0,-57.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-02-14,0.0216752742827956,0.0,0.0017,0.4714285714285714,0.002171638793202,0.0,8.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-15,0.0041439125036752,0.0,0.0131000000000001,0.48,0.0021669329956015,0.0,7.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-18,-0.0134738243050218,0.0,-0.0096000000000002,0.5057142857142857,0.0064727670458673,0.0,-1.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-19,-0.009956427503365,0.0,-0.0034999999999998,0.5142857142857142,0.0021483119957821,0.0,-6.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-20,0.0236557902824472,0.0,0.0034999999999998,0.5228571428571429,0.0021437066433183,0.0,-15.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-21,0.0169198684809277,-0.000835,-0.0042999999999997,0.5314285714285714,0.0021391209936805,0.0,8.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-22,0.0024360547978812,0.0,0.0031999999999996,0.54,0.0021345549207012,0.0,-5.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-25,0.0301391680743599,0.0,-0.0210999999999996,0.5657142857142857,0.0063764622207251,0.0,-16.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-26,-0.0010020758121473,0.0,-0.0115000000000002,0.5742857142857143,0.0021164839093241,0.0,-2.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-27,0.0176040889159896,0.0,-0.012,0.5828571428571429,0.0021120138642984,0.0,-24.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-28,-0.0126749793897804,-3.300000000000525e-05,-0.0344999999999999,0.5914285714285714,0.002107562661088,0.0,4.0,1,0.0,0.0,0.0,-0.000833999999999999
2002-03-01,0.021850319543077,3.300000000000525e-05,0.0114,0.6,0.00210313018081,0.0,-17.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-04,0.0088846284437789,0.0,-0.0163999999999999,0.6193548387096774,0.0015847838410785,0.0,-14.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-05,-0.0323039113667604,0.0,-0.0181,0.6258064516129032,0.0005277036513593,0.0,4.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-06,-0.0123520421453022,0.0,0.0268999999999999,0.632258064516129,0.0005274253270819,0.0,7.0,1,0.0,0.0,0.0,-0.0008009999999999938
2002-03-07,-0.0081988487573489,0.0,0.0142999999999999,0.6387096774193548,0.0005271472962409,0.0,1.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-08,0.0170475090617667,0.0,-0.0080999999999997,0.6451612903225806,0.0005268695583708,-0.01,-24.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-11,-0.0192355341488248,0.0,-0.0095,0.6645161290322581,0.001578945170678,0.0,-3.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-12,0.0347992210798242,0.0,0.0009000000000001,0.6709677419354838,0.0005257615273706,0.0,-13.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-13,0.004432724936322,0.0,-0.0127999999999999,0.6774193548387096,0.0005254852474365,0.0,-10.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-14,-0.0089560205134695,0.0,0.0072999999999998,0.6838709677419355,0.0005252092577148,0.0,-19.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-15,0.0174149475291898,0.0,0.0100999999999999,0.6903225806451613,0.0005249335577452,0.0,5.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-18,-0.0083887244813798,0.0,-0.0136000000000002,0.7096774193548387,0.0015731493640984,0.01,2.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-19,-0.0089553889765916,0.0,0.0026000000000001,0.7161290322580646,0.0005238336462802,0.0,0.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-20,-0.001985253062692,-3.300000000000525e-05,-0.0051999999999998,0.7225806451612904,0.0005235593882506,-0.01,-7.0,0,0.0,0.0,0.0,-0.000833999999999999
2002-03-21,-0.0268293864143185,-0.0008039999999999,0.0095,0.7290322580645161,0.0005232854172518,0.0,20.0,0,0.0,0.0,0.0,-0.001637999999999899
2002-03-22,-0.0299700554174169,-3.299999999999137e-05,0.0032999999999998,0.7354838709677419,0.0005230117328327,0.0,10.0,0,0.0,0.0,0.0,-0.0016709999999998905
2002-03-25,-0.002557353781885,3.299999999999137e-05,0.0133,0.7548387096774194,0.0015673959510476,0.0,3.0,0,0.0,0.0,0.0,-0.001637999999999899
2002-03-26,0.02175294354981,0.0,-0.0139,0.7612903225806452,0.0005219198519839,0.0,-8.0,0,0.0,0.0,0.0,-0.001637999999999899
2002-03-27,-0.0107428334518502,-3.299999999999137e-05,-0.0131000000000001,0.767741935483871,0.0005216475937412,0.01,2.0,0,0.0,0.0,0.0,-0.0016709999999998905
2002-03-28,-0.0127438006539399,-6.70000000000115e-05,-0.0135,0.7741935483870968,0.0005213756193978,0.0,-8.0,0,0.0,0.0,0.0,-0.001737999999999902
2002-04-01,0.0158674087269172,-0.0001679999999999,-0.0015999999999998,0.8,0.0020827883965974,0.0499999999999999,1.0,0,0.0,0.0,0.0,-0.001905999999999802
2002-04-02,-0.0166221257438721,-0.000234,-0.0198,0.7803333333333333,0.0008764073386622,0.0,2.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-03,-0.012153586741924,0.0,-0.0045000000000001,0.7606666666666667,0.0008756399213609,0.0,8.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-04,0.0207986321263913,0.0,0.0141,0.741,0.0008748738468469,0.0,5.0,0,0.0,0.0,0.0,-0.0021399999999998018
