n_estimators,min_samples_leaf,max_depth,max_features,min_balancedness_tol,subforest_size,ny,dy,ly,r_loss,r2_pred
2504,76,10,None,0.3367,8,100,2,0.03,0.00013131810914329182,0.18396315825191534
2800,79,6,0.5,0.32,2,200,2,0.03,0.00013146906769108762,0.18509443959673488
600,26,10,0.7,0.4416,4,400,2,0.03,0.00013167244677377016,0.18535121003253363
1600,37,6,0.7,0.4984,4,100,2,0.05,0.0001320005770226772,0.1818297764782454
3200,63,14,0.7,0.3046,8,200,2,0.05,0.0001311475293254985,0.186406545164703
700,68,8,0.7,0.4028,2,400,2,0.05,0.00013149466283072736,0.18478085421425472
2200,43,8,0.5,0.3341,2,100,2,0.1,0.00013103945191666165,0.18775452988962882
3000,13,10,sqrt,0.4617,2,200,2,0.1,0.0001316544075367696,0.18704499857794887
1100,64,6,0.7,0.3482,2,400,2,0.1,0.00013147874699241668,0.18418856198157707
800,54,8,sqrt,0.3782,4,100,3,0.03,0.00013174940964824644,0.18430053068599161
2200,67,6,0.7,0.337,4,200,3,0.03,0.00013141997069193002,0.18606850685181786
3504,18,10,sqrt,0.379,8,400,3,0.03,0.0001311302224733019,0.18996526432415484
2800,57,10,None,0.4922,4,100,3,0.05,0.00013178053745601658,0.1831679473948331
3304,45,None,0.7,0.4214,8,200,3,0.05,0.00013155974634368228,0.18532235069461644
2800,13,14,None,0.3031,2,400,3,0.05,0.00012993381244496966,0.194521640836259
2104,15,10,0.7,0.3011,8,100,3,0.1,0.00013024981296887463,0.1915638266701617
3200,45,8,None,0.4212,8,200,3,0.1,0.0001315353720904768,0.1846599202187963
2700,37,None,0.7,0.3899,4,400,3,0.1,0.00013155046652343216,0.18497000904281047
504,39,14,0.5,0.4183,8,100,5,0.03,0.0001317144364711344,0.18407054647298537
900,5,14,0.5,0.4426,4,200,5,0.03,0.0001318933397104688,0.1826655158408541
1704,46,8,None,0.4421,8,400,5,0.03,0.00013191031219637723,0.18188800263998883
3400,8,None,0.7,0.4127,2,100,5,0.05,0.0001313961148901135,0.1877412985127126
1704,40,14,0.5,0.4511,8,200,5,0.05,0.0001319377394327914,0.1831014643150416
1000,70,8,0.5,0.3322,4,400,5,0.05,0.0001317493099604538,0.18359010327655023
3700,66,8,0.7,0.4615,2,100,5,0.1,0.00013193109515200133,0.182820583070889
1000,7,None,0.5,0.3854,8,200,5,0.1,0.00013259589781263102,0.1775514584801745
2800,55,None,sqrt,0.3444,8,400,5,0.1,0.00013209390451204608,0.18152363024976526
